Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Super Smash Bros. Brawl,2008,6.62,2.55,2.66,1.01,12.84
Mario Kart 7,2011,5.03,4.02,2.69,0.91,12.66
Call of Duty: Black Ops,2010,5.99,4.37,0.48,1.79,12.63
Grand Theft Auto V,2014,3.96,6.31,0.38,1.97,12.61
Animal Crossing: Wild World,2005,2.5,3.45,5.33,0.86,12.13
Halo 3,2007,7.97,2.81,0.13,1.21,12.12
Super Mario 64,1996,6.91,2.85,1.91,0.23,11.89
Pokemon HeartGold/Pokemon SoulSilver,2009,4.34,2.71,3.96,0.76,11.77
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,4.35,3.49,3.1,0.74,11.68
Gran Turismo 4,2004,3.01,0.01,1.1,7.53,11.66
Super Mario Galaxy,2007,6.06,3.35,1.2,0.74,11.35
Super Mario Land 2: 6 Golden Coins,1992,6.16,2.04,2.69,0.29,11.18
Grand Theft Auto IV,2008,6.76,3.07,0.14,1.03,11.01
Gran Turismo,1997,4.02,3.87,2.54,0.52,10.95
Super Mario 3D Land,2011,4.89,3,2.14,0.78,10.81
Gran Turismo 5,2010,2.96,4.82,0.81,2.11,10.7
Call of Duty: Modern Warfare 2,2009,4.99,3.64,0.38,1.6,10.6
Super Mario All-Stars,1993,5.99,2.15,2.12,0.29,10.55
Grand Theft Auto IV,2008,4.76,3.69,0.44,1.61,10.5
Pokemon FireRed/Pokemon LeafGreen,2004,4.34,2.65,3.15,0.35,10.49
Super Mario 64,2004,5.01,3.07,1.25,0.97,10.3
Call of Duty: Ghosts,2013,6.73,2.56,0.04,0.91,10.25
Just Dance 3,2011,5.95,3.11,0,1.06,10.12
New Super Mario Bros. 2,2012,3.66,3.14,2.47,0.63,9.9
Mario Kart 64,1996,5.55,1.94,2.23,0.15,9.87
Halo: Reach,2010,7.04,1.95,0.08,0.79,9.86
Final Fantasy VII,1997,3.01,2.47,3.28,0.96,9.72
Halo 4,2012,6.65,2.28,0.04,0.74,9.71
Gran Turismo 2,1999,3.88,3.42,1.69,0.5,9.49
Just Dance 2,2010,5.8,2.85,0.01,0.78,9.44
Call of Duty: Ghosts,2013,4.1,3.63,0.38,1.25,9.36
Call of Duty 4: Modern Warfare,2007,5.93,2.36,0.13,0.9,9.31
Donkey Kong Country,1994,4.36,1.71,3,0.23,9.3
Minecraft,2013,5.7,2.65,0.02,0.81,9.18
Animal Crossing: New Leaf,2012,2.03,2.36,4.39,0.39,9.16
Mario Party DS,2007,4.4,1.85,1.98,0.68,8.91
The Elder Scrolls V: Skyrim,2011,5.05,2.79,0.1,0.85,8.79
Super Mario Kart,1992,3.54,1.24,3.81,0.18,8.76
FIFA 16,2015,1.12,6.12,0.06,1.28,8.57
Halo 2,2004,6.82,1.53,0.05,0.08,8.49
Wii Party,2010,1.75,3.47,2.49,0.67,8.38
Mario Party 8,2007,3.74,2.24,1.58,0.7,8.27
FIFA Soccer 13,2012,1.06,5.01,0.13,1.97,8.16
GoldenEye 007,1997,5.8,2.01,0.13,0.15,8.09
Pokemon Black 2/Pokemon White 2,2012,2.79,1.72,3.14,0.41,8.07
Final Fantasy X,2001,2.91,2.07,2.73,0.33,8.05
The Sims 3,2009,0.99,6.42,0,0.6,8.01
Mario & Sonic at the Olympic Games,2007,2.57,3.86,0.66,0.91,7.99
Star Wars Battlefront (2015),2015,2.99,3.49,0.22,1.28,7.98
Final Fantasy VIII,1999,2.28,1.72,3.63,0.23,7.86
Pac-Man,1982,7.28,0.45,0,0.08,7.81
Pokémon Platinum Version,2008,2.76,1.72,2.69,0.54,7.72
Grand Theft Auto: Liberty City Stories,2005,2.9,2.81,0.24,1.73,7.69
Call of Duty: Advanced Warfare,2014,2.81,3.48,0.14,1.23,7.66
The Legend of Zelda: Ocarina of Time,1998,4.1,1.89,1.45,0.16,7.6
FIFA 17,2016,0.66,5.75,0.08,1.11,7.59
Crash Bandicoot 2: Cortex Strikes Back,1997,3.78,2.17,1.31,0.31,7.58
Super Smash Bros. for Wii U and 3DS,2014,3.27,1.37,2.43,0.48,7.55
Super Mario Galaxy 2,2010,3.56,2.35,0.98,0.62,7.51
Super Mario Bros. 2,1988,5.39,1.18,0.7,0.19,7.46
Call of Duty: Black Ops 3,2015,4.59,2.11,0.01,0.68,7.39
Call of Duty: World at War,2008,4.81,1.88,0,0.69,7.38
Battlefield 3,2011,4.46,2.11,0.06,0.69,7.32
Need for Speed Underground,2003,3.27,2.83,0.08,1.02,7.2
Just Dance,2009,3.48,2.99,0,0.73,7.2
Battlefield 3,2011,2.85,2.89,0.35,1.08,7.17
Fallout 4,2015,2.53,3.27,0.24,1.13,7.16
Tekken 3,1998,3.27,2.22,1.4,0.29,7.16
The Legend of Zelda: Twilight Princess,2006,3.74,2.14,0.6,0.68,7.15
Pokemon Sun/Moon,2016,2.98,1.45,2.26,0.45,7.14
Crash Bandicoot 3: Warped,1998,3.68,1.75,1.42,0.28,7.13
Mario Kart 8,2014,3.15,2.15,1.28,0.51,7.09
Super Smash Bros. Melee,2001,4.41,1.04,1.39,0.22,7.07
Mario Kart: Double Dash!!,2003,4.12,1.77,0.87,0.19,6.95
Need for Speed Underground 2,2004,2.71,3.02,0.08,1.09,6.9
Medal of Honor: Frontline,2002,2.93,2.75,0.17,0.99,6.83
Crash Bandicoot,1996,3.23,2.35,0.94,0.3,6.82
Just Dance 4,2012,4.05,2.16,0,0.55,6.76
Gears of War 2,2008,4.15,1.9,0.06,0.64,6.75
Uncharted 3: Drake's Deception,2011,2.77,2.75,0.19,1.03,6.74
Zumba Fitness,2010,3.45,2.59,0,0.66,6.71
Call of Duty 4: Modern Warfare,2007,3.11,2.26,0.28,1.03,6.68
Uncharted 2: Among Thieves,2009,3.27,2.2,0.21,0.98,6.66
FIFA 12,2011,0.84,4.3,0.11,1.39,6.65
Big Brain Academy,2005,1.66,2.75,1.6,0.62,6.62
The Legend of Zelda,1986,3.74,0.93,1.69,0.14,6.51
Red Dead Redemption,2010,2.79,2.53,0.17,0.99,6.49
FIFA 14,2013,0.78,4.24,0.07,1.37,6.47
Assassin's Creed III,2012,2.64,2.52,0.16,1.12,6.45
Donkey Kong Country Returns,2010,3.17,1.79,1.03,0.46,6.44
Halo: Combat Evolved,2001,4.98,1.3,0.08,0.07,6.43
The Elder Scrolls V: Skyrim,2011,2.55,2.6,0.25,1,6.41
Pokémon Emerald Version,2004,2.57,1.58,2.06,0.21,6.41
Kingdom Hearts,2002,3.64,1.2,1.49,0.07,6.4
Pokémon Crystal Version,2000,2.55,1.56,1.29,0.99,6.39
Halo 3: ODST,2009,4.34,1.34,0.06,0.61,6.34
Red Dead Redemption,2010,3.7,1.95,0.09,0.58,6.32
Super Mario Sunshine,2002,4.01,1.26,0.87,0.17,6.31
Street Fighter II: The World Warrior,1992,2.47,0.83,2.87,0.12,6.3
World of Warcraft,2004,0.08,6.21,0,0,6.29
Driver,1999,3.11,2.8,0.02,0.33,6.27
Gears of War 3,2011,4.05,1.59,0.07,0.5,6.21
Kinect Sports,2010,3.92,1.73,0.03,0.51,6.19
Gears of War,2006,3.54,1.88,0.07,0.6,6.09
FIFA 15,2014,0.8,4.33,0.05,0.9,6.08
Metal Gear Solid 2: Sons of Liberty,2001,2.45,2.01,0.87,0.72,6.05
Sonic the Hedgehog 2,1992,4.47,1.2,0.16,0.19,6.03
Metal Gear Solid,1998,3.18,1.83,0.78,0.24,6.03
Metal Gear Solid 4: Guns of the Patriots,2008,2.63,1.71,0.83,0.82,5.99
Final Fantasy XII,2006,1.88,0,2.33,1.74,5.95
The Last of Us,2013,2.41,2.18,0.28,0.99,5.87
LittleBigPlanet,2008,2.8,1.98,0.17,0.87,5.82
Resident Evil 2,1998,1.88,1.47,2.02,0.45,5.82
Dragon Quest IX: Sentinels of the Starry Skies,2009,0.63,0.67,4.35,0.15,5.78
Tekken 2,1996,2.26,1.89,1.36,0.23,5.74
Destiny,2014,2.49,2.07,0.16,0.92,5.64
LEGO Star Wars: The Complete Saga,2007,3.57,1.55,0,0.51,5.64
Cooking Mama,2006,3.07,1.91,0.07,0.57,5.63
Tetris,1988,2.97,0.69,1.81,0.11,5.58
Super Smash Bros.,1999,2.95,0.6,1.97,0.04,5.55
Assassin's Creed II,2009,2.54,1.93,0.21,0.86,5.55
Assassin's Creed,2007,3.28,1.64,0.07,0.56,5.54
Forza Motorsport 3,2009,2.99,1.9,0.1,0.5,5.49
Super Mario Advance,2001,3.14,1.24,0.91,0.2,5.49
Monster Hunter Freedom Unite,2008,0.47,0.55,4.13,0.34,5.48
Batman: Arkham City,2011,2.71,1.85,0.11,0.81,5.48
Grand Theft Auto V,2014,2.81,2.19,0,0.47,5.48
Mario Kart: Super Circuit,2001,2.62,1.64,0.99,0.23,5.47
Super Mario World,2001,3.21,1.11,0.95,0.2,5.46
Pokemon Stadium,1999,3.18,1.24,0.94,0.09,5.45
Crash Bandicoot: The Wrath of Cortex,2001,2.07,2.29,0.24,0.82,5.42
Call of Duty: World at War,2008,2.73,1.83,0,0.83,5.39
Uncharted 4: A Thief's End,2016,1.85,2.5,0.19,0.85,5.38
Dr. Mario,1989,2.18,0.96,2,0.2,5.34
Final Fantasy XIII,2009,1.74,1.21,1.87,0.51,5.33
Pokemon Pinball,1999,3.02,1.12,1.01,0.16,5.31
Final Fantasy IX,2000,1.62,0.77,2.78,0.14,5.3
Assassin's Creed III,2012,3.13,1.69,0.03,0.44,5.29
Final Fantasy X-2,2003,1.92,1.08,2.11,0.17,5.29
Donkey Kong 64,1999,3.33,0.79,1.09,0.06,5.27
Call of Duty: Advanced Warfare,2014,3.22,1.55,0.01,0.48,5.27
Minecraft,2014,2.03,2.37,0,0.87,5.26
Assassin's Creed II,2009,3.11,1.55,0.08,0.51,5.26
Tomb Raider II,1997,2.3,2.46,0.2,0.28,5.24
Madden NFL 2004,N/A,4.26,0.26,0.01,0.71,5.23
Tomodachi Life,2013,0.97,2.11,1.9,0.24,5.23
New Super Mario Bros. U,2012,2.3,1.34,1.27,0.32,5.22
Dragon Quest VIII: Journey of the Cursed King,2004,0.65,0.75,3.61,0.2,5.21
Super Mario Bros. 3,2003,2.93,1.25,0.83,0.2,5.2
Professor Layton and the Curious Village,2007,1.21,2.43,1.03,0.52,5.19
Super Mario Land 3: Wario Land,1994,2.49,0.98,1.57,0.15,5.19
FIFA Soccer 13,2012,1.09,3.47,0.03,0.57,5.16
Donkey Kong Country 2: Diddy's Kong Quest,1995,2.1,0.74,2.2,0.11,5.15
Diablo III,2012,2.44,2.16,0,0.54,5.14
Medal of Honor: Rising Sun,2003,1.98,2.23,0.13,0.8,5.13
Kirby's Dream Land,1992,2.71,0.61,1.7,0.11,5.13
Microsoft Flight Simulator,1996,3.22,1.69,0,0.2,5.12
Guitar Hero II,2006,3.81,0.63,0,0.68,5.12
Fable III,2010,3.59,1.08,0.05,0.38,5.1
Mario & Sonic at the Olympic Games,2008,1.63,2.45,0.44,0.57,5.09
Resident Evil 5,2009,1.96,1.41,1.08,0.64,5.09
The Legend of Zelda: Phantom Hourglass,2007,1.85,1.8,0.95,0.48,5.08
Super Mario Bros.,1999,3.4,1.3,0.15,0.22,5.07
FIFA Soccer 11,2010,0.61,3.28,0.06,1.12,5.07
Resident Evil,1996,2.05,1.16,1.11,0.73,5.05
Grand Theft Auto: Vice City Stories,2006,1.7,1.99,0.16,1.18,5.03
Tony Hawk's Pro Skater,1999,3.42,1.38,0.02,0.2,5.02
Warzone 2100,1999,2.79,1.89,0,0.33,5.01
Spyro the Dragon,1998,3.36,1.36,0.07,0.21,5
Guitar Hero III: Legends of Rock,2007,3.49,0.01,0.01,1.48,4.98
Link's Crossbow Training,2007,3.05,1.17,0.29,0.46,4.98
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,1.83,1.19,1.54,0.37,4.93
Fallout 3,2008,3.4,0.99,0.09,0.45,4.93
Uncharted: Drake's Fortune,2007,2.31,1.72,0.12,0.77,4.92
Madden NFL 06,2005,3.98,0.26,0.01,0.66,4.91
Diddy Kong Racing,1997,2.91,0.99,0.89,0.1,4.88
Monster Hunter Freedom 3,2010,0,0,4.87,0,4.87
Super Smash Bros. for Wii U and 3DS,2014,2.6,1.08,0.81,0.38,4.87
Dr. Mario,1990,2.62,0.6,1.52,0.1,4.85
StarCraft II: Wings of Liberty,2010,2.57,1.68,0,0.58,4.84
Assassin's Creed,2007,1.91,2,0.09,0.82,4.82
God of War III,2010,2.74,1.33,0.12,0.61,4.8
Crash Team Racing,1999,2.57,1.57,0.44,0.21,4.79
LEGO Star Wars: The Complete Saga,2007,2.83,1.48,0,0.45,4.76
Driver 2,2000,2.36,2.1,0.02,0.25,4.73
Batman: Arkham City,2011,2.99,1.27,0.04,0.42,4.73
The Last of Us,2014,1.88,2,0.07,0.77,4.71
The Simpsons: Hit & Run,2003,1.73,2.19,0,0.79,4.7
Tony Hawk's Pro Skater 2,2000,3.05,1.41,0.02,0.2,4.68
The Lord of the Rings: The Two Towers,2002,1.94,1.95,0.08,0.7,4.67
Tomb Raider,1996,2.29,1.97,0.13,0.24,4.63
Animal Crossing: City Folk,2008,1.82,1.12,1.32,0.36,4.62
Uncharted: The Nathan Drake Collection,2015,2.07,1.71,0.08,0.76,4.62
The Legend of Zelda: A Link to the Past,1991,2.42,0.91,1.15,0.13,4.61
The Legend of Zelda: The Wind Waker,2002,2.6,0.99,0.89,0.13,4.6
Guitar Hero III: Legends of Rock,2007,3.04,1.11,0,0.43,4.6
Luigi's Mansion: Dark Moon,2013,1.8,1.39,1.11,0.29,4.59
Forza Motorsport 4,2011,2.08,1.97,0.06,0.46,4.57
Mario & Sonic at the Olympic Winter Games,2009,1.87,1.96,0.22,0.48,4.53
Madden NFL 2005,2004,4.18,0.26,0.01,0.08,4.53
Guitar Hero III: Legends of Rock,2007,3.19,0.91,0.01,0.42,4.53
Pitfall!,1981,4.21,0.24,0,0.05,4.5
Madden NFL 07,2006,3.63,0.24,0.01,0.61,4.49
Halo 5: Guardians,2015,2.78,1.27,0.03,0.41,4.48
Spider-Man: The Movie,2002,2.71,1.51,0.03,0.23,4.48
Dragon Quest VII: Warriors of Eden,2000,0.2,0.14,4.1,0.02,4.47
Call of Duty: Infinite Warfare,2016,1.61,2,0.15,0.71,4.46
God of War,2005,2.71,1.29,0.02,0.43,4.45
Splatoon,2015,1.54,1.18,1.46,0.26,4.43
Nintendo Land,2012,2.52,1.11,0.46,0.33,4.42
Tony Hawk's Pro Skater 3,2001,2.66,1.29,0.01,0.46,4.41
Winning Eleven: Pro Evolution Soccer 2007,2006,0.1,2.39,1.05,0.86,4.39
The Elder Scrolls IV: Oblivion,2006,2.82,1.03,0.13,0.4,4.38
Zelda II: The Adventure of Link,1987,2.19,0.5,1.61,0.08,4.38
Need for Speed: Most Wanted,2005,2.03,1.79,0.08,0.47,4.37
Michael Jackson: The Experience,2010,2.64,1.33,0.01,0.39,4.36
Call of Duty: Advanced Warfare,2014,1.56,1.93,0.19,0.68,4.36
Resistance: Fall of Man,2006,1.74,1.72,0.14,0.75,4.34
Sonic the Hedgehog,1991,3.03,0.91,0.26,0.13,4.34
Kingdom Hearts II,2005,2.2,0.58,1.38,0.17,4.33
The Legend of Zelda: Ocarina of Time,2011,2.09,1.31,0.62,0.31,4.33
Super Mario 3D World,2013,2.11,1.16,0.73,0.32,4.32
Minecraft,2014,1.48,2.02,0.14,0.68,4.32
Asteroids,1980,4,0.26,0,0.05,4.31
Call of Duty: Advanced Warfare,2014,2.77,1.11,0,0.4,4.29
FIFA 15,2014,0.58,3.02,0.04,0.64,4.28
Fable II,2008,2.51,1.24,0.11,0.41,4.27
Namco Museum,2001,3,1.11,0.05,0.07,4.24
Batman: Arkham Asylum,2009,2.24,1.31,0.07,0.61,4.23
Metal Gear Solid 3: Snake Eater,2004,1.46,0,0.83,1.93,4.23
Assassin's Creed: Revelations,2011,1.41,2.01,0.1,0.7,4.22
Fallout 4,2015,2.51,1.32,0.01,0.38,4.22
FIFA 14,2013,0.92,2.89,0.01,0.4,4.22
Daxter,2006,2.45,1.01,0,0.75,4.21
Warcraft II: Tides of Darkness,1995,1.7,2.27,0,0.23,4.21
FIFA Soccer 06,2005,0.78,2.55,0.04,0.84,4.21
EyeToy Play,2003,0.88,2.3,0.2,0.83,4.2
Gran Turismo 5 Prologue,2007,1.28,1.82,0.57,0.52,4.19
Assassin's Creed: Revelations,2011,2.25,1.47,0.04,0.43,4.19
FIFA 12,2011,0.84,2.78,0.02,0.53,4.18
Teenage Mutant Ninja Turtles,1989,3.38,0.44,0.31,0.04,4.17
Street Fighter IV,2009,2.03,1.04,0.58,0.52,4.16
Excitebike,1984,2.04,0.48,1.57,0.07,4.16
Frogger,1997,3.79,0.27,0,0.11,4.16
Madden NFL 2003,2002,3.36,0.21,0.01,0.56,4.14
Half-Life,1997,4.03,0,0.09,0,4.12
Super Mario World 2: Yoshi's Island,1995,1.65,0.61,1.76,0.09,4.12
FIFA Soccer 07,2006,0.71,2.48,0.03,0.89,4.11
Street Fighter II Turbo,1992,1.42,0.51,2.1,0.07,4.1
World of Warcraft: The Burning Crusade,2007,2.57,1.52,0,0,4.09
Battlefield 1,2016,1.1,2.15,0.21,0.61,4.08
God of War II,2007,2.32,0.04,0.04,1.67,4.07
World Soccer Winning Eleven 9,2005,0.12,2.26,0.9,0.77,4.06
Fallout: New Vegas,2010,2.66,1.03,0.04,0.33,4.05
Forza Motorsport 2,2007,2.35,1.27,0.03,0.41,4.05
Carnival Games,2007,2.12,1.47,0.05,0.42,4.05
Watch Dogs,2014,1.4,1.9,0.11,0.64,4.05
Namco Museum Vol.3,1996,2.28,1.55,0.16,0.06,4.05
Tekken Tag Tournament,2000,1.68,1.51,0.51,0.35,4.05
Far Cry 4,2014,1.13,2.18,0.1,0.63,4.04
Star Fox 64,1997,2.78,0.58,0.64,0.04,4.03
Golf,1984,1.22,0.28,2.46,0.04,4.01
Namco Museum: 50th Anniversary,2005,2.08,1.35,0,0.54,3.98
Left 4 Dead 2,2009,2.67,0.87,0.05,0.38,3.97
The Witcher 3: Wild Hunt,2015,1.02,2.13,0.23,0.59,3.97
Assassin's Creed: Unity,2014,1.19,2.07,0.08,0.62,3.96
Batman: Arkham Knight,2015,1.53,1.69,0.1,0.64,3.95
The Legend of Zelda: Skyward Sword,2011,2.03,1.16,0.37,0.38,3.95
Fallout 3,2008,2.15,1.13,0.07,0.59,3.94
Professor Layton and the Diabolical Box,2007,0.9,1.76,0.92,0.37,3.94
Donkey Kong Land,1994,1.97,0.76,1.07,0.11,3.91
EA Sports Active,2009,2.09,1.35,0.06,0.4,3.9
Tony Hawk's Underground,2003,2.29,1.17,0.01,0.42,3.9
Monster Hunter 4 Ultimate,2014,0.68,0.48,2.62,0.11,3.89
The Elder Scrolls V: Skyrim,2011,1.16,2.12,0,0.6,3.88
NBA 2K16,2015,2.49,0.66,0.03,0.69,3.88
Tekken 5,2005,0.93,1.94,0.31,0.7,3.87
Dragon Warrior III,1988,0.1,0,3.77,0,3.87
MotorStorm,2006,1.53,1.6,0.06,0.67,3.87
Nintendogs + cats,2011,1.44,1.41,0.73,0.27,3.85
World Soccer Winning Eleven 8 International,2004,0.16,1.89,1.12,0.68,3.85
Sports Champions,2010,2.13,1.12,0.1,0.5,3.84
Namco Museum Vol.1,1995,2.12,1.44,0.22,0.06,3.84
The Legend of Zelda: Link's Awakening,1992,2.21,0.96,0.54,0.13,3.83
Call of Duty: Ghosts,2013,1.78,1.43,0.05,0.57,3.83
Flash Focus: Vision Training in Minutes a Day,2007,0.86,1.56,1.05,0.35,3.83
Tom Clancy's The Division,2016,1.35,1.7,0.15,0.6,3.8
Big Brain Academy: Wii Degree,2007,1.05,1.91,0.41,0.42,3.79
Resident Evil Director's Cut,1996,1.82,1.24,0.47,0.25,3.77
Mario & Luigi: Bowser's Inside Story,2009,2.23,0.47,0.81,0.26,3.77
LEGO Indiana Jones: The Original Adventures,2008,2.4,1.01,0,0.36,3.76
The Sims: Unleashed,2002,2.03,1.56,0,0.17,3.76
Ratchet & Clank: Size Matters,2007,1.4,1.39,0.1,0.86,3.74
Harry Potter and the Sorcerer's Stone,2001,1.37,2,0.14,0.22,3.73
Mario & Sonic at the London 2012 Olympic Games,2011,1.12,1.87,0.27,0.45,3.72
Resident Evil 3: Nemesis,1999,1.3,0.77,1.54,0.11,3.72
Super Paper Mario,2007,1.95,0.86,0.59,0.31,3.71
Spyro: Year of the Dragon,2000,1.93,1.58,0,0.19,3.71
Assassin's Creed IV: Black Flag,2013,1.33,1.68,0.13,0.57,3.71
FIFA Soccer 2005,2004,0.58,2.48,0.04,0.59,3.7
Pokémon Trading Card Game,1998,1.49,0.73,1.38,0.1,3.7
Friend Collection,2009,0,0,3.67,0,3.67
Tony Hawk's Pro Skater 4,2002,2.13,1.18,0.01,0.35,3.67
Star Wars Battlefront (2015),2015,2.04,1.28,0.02,0.32,3.66
MySims,2007,1.58,1.59,0.08,0.41,3.66
Midnight Club 3: DUB Edition,2005,1.65,1.21,0,0.79,3.65
Banjo-Kazooie,1998,1.87,1.13,0.55,0.1,3.65
SOCOM: U.S. Navy SEALs,2002,2.53,0.81,0.06,0.24,3.65
Jak and Daxter: The Precursor Legacy,2001,2.08,1.09,0.15,0.33,3.64
Pokemon Snap,1999,2.23,0.68,0.66,0.06,3.63
Pro Evolution Soccer 2008,2007,0.05,0,0.64,2.93,3.63
Resident Evil 4,2005,2.08,0.83,0.46,0.25,3.62
Guitar Hero: World Tour,2008,2.32,0.96,0,0.34,3.62
FIFA Soccer 10,2009,0.6,2.45,0.05,0.52,3.62
Star Wars: Battlefront,2004,1.93,1.22,0.03,0.44,3.61
Doom II: Hell on Earth,1994,2.05,1.4,0,0.16,3.61
The Simpsons: Road Rage,2001,2.02,1.17,0,0.42,3.61
Luigi's Mansion,2001,2.38,0.67,0.46,0.1,3.6
Battlefield 4,2013,1.35,1.55,0.17,0.51,3.59
Star Wars: Battlefront II,2005,2.18,1.02,0.03,0.37,3.59
Just Dance 2014,2013,1.88,1.39,0,0.31,3.59
Cooking Mama 2: Dinner With Friends,2007,1.6,1.49,0.1,0.39,3.58
WWF SmackDown!,2000,2.01,1.35,0.06,0.16,3.58
Croc: Legend of the Gobbos,1997,1.57,1.79,0,0.2,3.56
Grand Theft Auto: Liberty City Stories,2006,1.56,1.4,0.07,0.5,3.54
The Getaway,2002,1.23,1.77,0.05,0.49,3.54
Tomb Raider III: Adventures of Lara Croft,1997,1.66,1.58,0.12,0.18,3.54
James Bond 007: Agent Under Fire,2001,1.9,1.13,0.1,0.41,3.53
LEGO Star Wars: The Video Game,2005,1.98,1.14,0.01,0.41,3.53
Rugrats in Paris: The Movie,2000,1.96,1.33,0,0.23,3.52
FIFA Soccer 11,2010,0.71,2.39,0.02,0.4,3.52
Spyro 2: Ripto's Rage!,1999,2.14,1.21,0.01,0.17,3.52
Left 4 Dead,2008,2.66,0.49,0.05,0.3,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,1.17,0.5,1.75,0.08,3.51
Assassin's Creed: Unity,2014,2.27,0.9,0,0.33,3.5
Kung Fu,1985,1.64,0.38,1.42,0.06,3.5
Resident Evil 5,2009,2.11,0.93,0.12,0.34,3.5
Assassin's Creed: Brotherhood,2010,2.85,0.38,0.03,0.24,3.49
FIFA Soccer 2004,N/A,0.59,2.36,0.04,0.51,3.49
Battlefield 4,2013,1.3,1.42,0.27,0.5,3.49
Batman: Arkham Asylum,2009,2.2,0.95,0.02,0.31,3.48
Battlefield 4,2013,2.15,1.01,0.02,0.31,3.48
Battlefield: Bad Company 2,2010,2.1,1.01,0.04,0.32,3.47
Mario & Sonic at the Olympic Winter Games,2009,1.21,1.62,0.27,0.37,3.46
Guitar Hero: On Tour,2008,2.1,1.01,0.01,0.35,3.46
Clubhouse Games,2006,0.59,1.79,0.73,0.34,3.45
Monster Hunter 4,2013,0,0,3.44,0,3.44
Borderlands,2009,2.4,0.71,0.03,0.29,3.44
Tekken 4,2002,1.55,1.27,0.33,0.29,3.44
Final Fantasy III,1994,0.86,0,2.55,0.02,3.42
Grand Theft Auto 2,1998,1.13,2.07,0,0.22,3.42
Metal Gear Solid V: The Phantom Pain,2015,1.09,1.36,0.49,0.48,3.41
Spider-Man 2,2004,1.75,1.2,0.02,0.43,3.41
F-1 Race,1990,1.73,0.69,0.59,0.4,3.41
FIFA Soccer 2003,2002,0.46,2.28,0.05,0.61,3.4
LittleBigPlanet 2,2011,1.83,1.05,0.06,0.46,3.39
Crash Bash,2000,1.56,1.47,0.19,0.17,3.39
Assassin's Creed Syndicate,2015,0.81,1.99,0.07,0.52,3.39
LEGO Batman: The Videogame,2008,2.04,1.02,0,0.32,3.38
Destiny,2014,2.14,0.92,0,0.31,3.37
WWF War Zone,1998,2.47,0.76,0,0.13,3.36
